script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,0,1.0,0.001,1.8e-06,1.8e-06
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,1,1.0,0.002,3.6e-06,3.6e-06
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,2,1.0,0.003,5.4e-06,5.4e-06
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,3,1.0,0.004,7.2e-06,7.2e-06
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,4,1.0,0.005,9e-06,9e-06
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,5,1.0,0.006,1.08e-05,1.08e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,6,1.0,0.007,1.26e-05,1.26e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,7,1.0,0.008,1.44e-05,1.44e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,8,1.0,0.009,1.6199999999999997e-05,1.6199999999999997e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,9,1.0,0.01,1.8e-05,1.8e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,10,1.0,0.011,1.9799999999999997e-05,1.9799999999999997e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,11,1.0,0.012,2.16e-05,2.16e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,12,1.0,0.013,2.34e-05,2.34e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,13,1.0,0.014,2.52e-05,2.52e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,14,1.0,0.015,2.7e-05,2.7e-05
